SEXO,EDAD
Hombre,7
Mujer,12
Hombre,17
Mujer,22
Hombre,18
Mujer,20
Hombre,14
Hombre,15
Mujer,8
Mujer,25
Hombre,29
Mujer,16
Mujer,19
Hombre,22
Hombre,6
Hombre,10
Hombre,21
Hombre,25
Hombre,26
Mujer,16
Hombre,20
Hombre,19
Hombre,21
Mujer,23
Hombre,3
Hombre,7
Hombre,10
Hombre,11
Mujer,20
Mujer,25
Mujer,25
Hombre,27
Hombre,17
Mujer,24
Hombre,10
Mujer,16
Mujer,20
Mujer,21
Mujer,6
Mujer,10
Hombre,5
Mujer,10
Hombre,4
Hombre,20
Mujer,12
Hombre,17
Hombre,22
Hombre,13
Mujer,18
Mujer,20
Hombre,12
Mujer,21
Mujer,24
Mujer,7
Hombre,15
Mujer,20
Mujer,8
Mujer,9
Hombre,10
Hombre,10
Hombre,14
Hombre,24
Mujer,9
Hombre,10
Hombre,10
Hombre,13
Hombre,20
Mujer,20
Hombre,22
Mujer,10
Hombre,24
Mujer,3
Hombre,18
Hombre,23
Hombre,17
Mujer,8
Mujer,17
Hombre,13
Mujer,17
Mujer,24
Hombre,25
Hombre,12
Mujer,21
Mujer,26
Hombre,7
Mujer,19
Mujer,9
Mujer,29
Hombre,29
Mujer,14
Mujer,15
Hombre,16
Hombre,21
Hombre,11
Mujer,24
Mujer,18
Mujer,22
Mujer,24
Mujer,17
Mujer,22
Mujer,27
Hombre,13
Mujer,5
Mujer,3
Mujer,18
Hombre,7
Hombre,10
Mujer,15
Hombre,17
Hombre,20
Mujer,5
Hombre,14
Mujer,16
Hombre,18
Hombre,3
Hombre,7
Mujer,21
Hombre,18
Hombre,24
Hombre,28
Hombre,6
Hombre,14
Mujer,20
Mujer,23
Mujer,4
Hombre,6
Hombre,15
Mujer,18
Hombre,20
Mujer,20
Mujer,24
Mujer,27
Mujer,13
Mujer,18
Hombre,28
Mujer,9
Mujer,18
Mujer,26
Hombre,28
Mujer,11
Mujer,15
Mujer,18
Mujer,10
Hombre,14
Hombre,11
Hombre,18
Mujer,18
Hombre,21
Mujer,24
Hombre,25
Hombre,6
Hombre,10
Hombre,12
Hombre,13
Mujer,21
Mujer,20
Hombre,22
Mujer,5
Hombre,8
Mujer,10
Hombre,11
Hombre,17
Hombre,20
Hombre,28
Hombre,8
Mujer,17
Mujer,21
Hombre,22
Hombre,20
Mujer,19
Mujer,22
Hombre,23
Hombre,16
Hombre,18
Mujer,19
Mujer,23
Hombre,28
Hombre,13
Mujer,16
Hombre,7
Hombre,10
Mujer,3
Hombre,25
Mujer,25
Hombre,13
Mujer,16
Mujer,7
Hombre,26
Mujer,19
Hombre,21
Hombre,8
Mujer,9
Mujer,29
Hombre,9
Hombre,12
Hombre,29
Mujer,29
Hombre,17
Mujer,11
Mujer,10
Mujer,20
Mujer,8
Hombre,9
Hombre,13
Hombre,3
Hombre,8
Mujer,25
Hombre,11
Mujer,13
Hombre,9
Mujer,13
Hombre,19
Mujer,11
Hombre,13
Hombre,14
Mujer,15
Hombre,18
Mujer,4
Mujer,9
Mujer,10
Mujer,17
Hombre,17
Mujer,18
Mujer,29
Hombre,3
Mujer,6
Mujer,24
Hombre,4
Hombre,17
Hombre,27
Mujer,4
Hombre,18
Mujer,23
Hombre,23
Mujer,4
Mujer,28
Hombre,29
Mujer,20
Hombre,20
Hombre,25
Hombre,4
Hombre,8
Hombre,9
Mujer,10
Hombre,13
Mujer,26
Mujer,29
Hombre,5
Hombre,8
Hombre,12
Hombre,29
Mujer,29
Hombre,7
Hombre,10
Hombre,19
Mujer,19
Hombre,21
Mujer,21
Hombre,24
Hombre,26
Mujer,24
Hombre,29
Hombre,8
Mujer,15
Mujer,18
Hombre,25
Mujer,11
Hombre,14
Mujer,17
Hombre,6
Hombre,14
Mujer,20
Hombre,29
Mujer,18
Mujer,23
Mujer,11
Mujer,17
Hombre,8
Mujer,13
Mujer,16
Hombre,23
Mujer,22
Mujer,26
Hombre,29
Mujer,23
Hombre,4
Hombre,8
Mujer,15
Mujer,17
Mujer,29
Mujer,10
Mujer,16
Hombre,18
Mujer,9
Mujer,10
Mujer,28
Hombre,4
Mujer,12
Hombre,26
Hombre,4
Mujer,23
Hombre,28
Hombre,8
Mujer,14
Hombre,16
Mujer,18
Hombre,4
Hombre,5
Hombre,10
Hombre,20
Mujer,22
Hombre,4
Mujer,9
Hombre,11
Hombre,19
Mujer,25
Mujer,24
Mujer,27
Hombre,5
Mujer,7
Mujer,20
Mujer,20
Hombre,25
Hombre,6
Mujer,27
Hombre,26
Hombre,26
Mujer,26
Mujer,21
Mujer,26
Mujer,17
Mujer,10
Mujer,23
Hombre,23
Hombre,24
Hombre,26
Mujer,21
Mujer,3
Mujer,24
Hombre,24
Mujer,27
Mujer,18
Hombre,22
Hombre,24
Hombre,28
Hombre,9
Mujer,11
Mujer,20
Hombre,24
Hombre,7
Hombre,15
Hombre,17
Hombre,19
Hombre,23
Mujer,20
Hombre,23
Mujer,26
Hombre,28
Hombre,18
Mujer,20
Hombre,23
Hombre,10
Mujer,12
Mujer,23
Mujer,3
Hombre,5
Mujer,11
Mujer,26
Mujer,11
Hombre,13
Mujer,22
Mujer,20
Hombre,25
Mujer,19
Mujer,20
Mujer,26
Mujer,4
Hombre,13
Mujer,17
Mujer,22
Mujer,16
Hombre,16
Mujer,18
Mujer,9
Hombre,15
Hombre,16
Mujer,20
Mujer,10
Mujer,12
Mujer,20
Mujer,23
Hombre,15
Mujer,3
Mujer,5
Mujer,9
Mujer,23
Hombre,25
Mujer,18
Mujer,20
Mujer,21
Hombre,8
Hombre,9
Mujer,18
Hombre,18
Hombre,24
Mujer,26
Hombre,19
Mujer,9
Mujer,16
Mujer,20
Hombre,9
Mujer,17
Hombre,21
Mujer,10
Mujer,14
Mujer,19
Hombre,23
Mujer,12
Mujer,22
Hombre,20
Mujer,24
Mujer,19
Hombre,23
Hombre,26
Hombre,3
Hombre,12
Hombre,23
Mujer,3
Mujer,24
Mujer,4
Mujer,12
Mujer,15
Hombre,16
Mujer,16
Hombre,18
Mujer,21
Mujer,16
Mujer,17
Hombre,11
Hombre,16
Mujer,26
Mujer,4
Hombre,22
Mujer,26
Hombre,28
Hombre,10
Hombre,18
Mujer,7
Hombre,16
Hombre,22
Hombre,23
Mujer,7
Mujer,26
Hombre,15
Mujer,18
Hombre,22
Mujer,3
Mujer,25
Hombre,27
Mujer,6
Hombre,14
Mujer,19
Hombre,20
Mujer,22
Mujer,4
Hombre,6
Mujer,22
Mujer,24
Hombre,24
Mujer,26
Hombre,7
Mujer,16
Mujer,25
Mujer,9
Mujer,12
Hombre,15
Hombre,6
Mujer,29
Mujer,13
Hombre,3
Mujer,11
Mujer,29
Mujer,4
Hombre,8
Mujer,10
Mujer,13
Mujer,29
Mujer,4
Mujer,10
Mujer,21
Mujer,21
Hombre,23
Hombre,25
Mujer,4
Mujer,4
Hombre,8
Hombre,10
Hombre,7
Mujer,12
Hombre,23
Hombre,26
Mujer,27
Hombre,7
Hombre,7
Mujer,6
Hombre,15
Hombre,19
Hombre,12
Mujer,18
Hombre,9
Mujer,20
Hombre,12
Mujer,21
Hombre,23
Mujer,12
Mujer,18
Mujer,4
Mujer,7
Hombre,27
Hombre,15
Hombre,16
Hombre,27
Hombre,5
Hombre,11
Hombre,18
Hombre,20
Hombre,22
Mujer,25
Mujer,13
Mujer,14
Mujer,20
Mujer,27
Mujer,6
Hombre,12
Hombre,15
Hombre,25
Hombre,6
Hombre,15
Mujer,19
Mujer,25
Mujer,21
Hombre,29
Mujer,4
Mujer,9
Mujer,20
Hombre,29
Hombre,11
Mujer,27
Mujer,17
Hombre,18
Mujer,9
Hombre,11
Mujer,13
Hombre,18
Mujer,4
Hombre,7
Mujer,26
Hombre,28
Mujer,9
Mujer,21
Mujer,14
Mujer,15
Mujer,13
Mujer,18
Mujer,22
Hombre,4
Hombre,8
Mujer,10
Mujer,11
Mujer,24
Hombre,26
Mujer,27
Hombre,28
Hombre,18
Hombre,16
Hombre,18
Mujer,23
Mujer,6
Mujer,25
Hombre,25
Mujer,15
Hombre,12
Mujer,19
Hombre,19
Hombre,7
Hombre,19
Mujer,18
Mujer,12
Hombre,12
Hombre,26
Hombre,9
Mujer,20
Hombre,27
Mujer,28
Hombre,29
Mujer,21
Mujer,5
Hombre,9
Hombre,24
Hombre,7
Hombre,11
Hombre,13
Mujer,3
Mujer,20
Hombre,21
Mujer,8
Mujer,27
Mujer,8
Mujer,12
Hombre,16
Hombre,5
Mujer,8
Hombre,24
Mujer,15
Hombre,23
Mujer,27
Hombre,17
Hombre,12
Hombre,14
Hombre,24
Hombre,7
Hombre,8
Mujer,11
Hombre,22
Hombre,25
Hombre,26
Mujer,11
Mujer,14
Hombre,19
Mujer,27
Mujer,8
Mujer,13
Mujer,14
Mujer,21
Hombre,9
Mujer,15
Hombre,20
Mujer,3
Hombre,4
Hombre,7
Hombre,9
Mujer,28
Hombre,29
Mujer,21
Mujer,7
Hombre,18
Hombre,19
Mujer,27
Hombre,7
Mujer,10
Hombre,5
Hombre,14
Mujer,18
Mujer,3
Mujer,5
Hombre,6
Hombre,25
Mujer,9
Hombre,11
Hombre,18
Mujer,22
Mujer,27
Mujer,20
Hombre,26
Mujer,15
Hombre,16
Mujer,21
Mujer,13
Hombre,17
Hombre,18
Mujer,25
Mujer,3
Hombre,12
Hombre,8
Hombre,7
Mujer,14
Mujer,10
Hombre,15
Mujer,16
Hombre,24
Mujer,9
Hombre,14
Hombre,22
Hombre,18
Hombre,21
Mujer,21
Hombre,12
Hombre,16
Hombre,20
Mujer,26
Mujer,14
Mujer,16
Mujer,5
Mujer,6
Hombre,28
Mujer,9
Hombre,10
Mujer,20
Hombre,25
Mujer,3
Mujer,6
Hombre,17
Hombre,26
Hombre,10
Mujer,11
Mujer,24
Hombre,4
Mujer,22
Hombre,28
Mujer,27
Mujer,21
Mujer,26
Mujer,29
Hombre,4
Mujer,9
Hombre,19
Hombre,26
Hombre,7
Hombre,9
Hombre,28
Mujer,28
Mujer,7
Hombre,9
Mujer,28
Mujer,5
Mujer,18
Mujer,20
Mujer,27
Hombre,29
Hombre,23
Hombre,3
Hombre,5
Mujer,21
Hombre,24
Mujer,8
Mujer,28
Hombre,29
Mujer,12
Mujer,17
Mujer,20
Hombre,4
Hombre,15
Hombre,4
Mujer,5
Hombre,6
Mujer,23
Mujer,28
Hombre,29
Hombre,5
Mujer,7
Hombre,12
Mujer,19
Mujer,25
Mujer,9
Hombre,20
Hombre,20
Hombre,24
Hombre,16
Hombre,21
Mujer,25
Hombre,16
Hombre,20
Hombre,24
Mujer,15
Mujer,24
Hombre,25
Mujer,8
Mujer,9
Mujer,12
Hombre,6
Hombre,18
Mujer,3
Hombre,8
Mujer,26
Hombre,11
Mujer,17
Mujer,21
Mujer,20
Mujer,22
Hombre,9
Hombre,11
Mujer,13
Mujer,15
Mujer,20
Mujer,12
Hombre,14
Hombre,17
Mujer,3
Hombre,4
Hombre,8
Hombre,6
Mujer,12
Hombre,15
Hombre,18
Mujer,6
Mujer,27
Hombre,28
Mujer,15
Hombre,18
Hombre,22
Hombre,25
Mujer,18
Hombre,22
Mujer,13
Hombre,4
Mujer,20
Hombre,7
Mujer,12
Mujer,17
Hombre,18
Mujer,12
Hombre,26
Mujer,29
Mujer,4
Hombre,8
Hombre,4
Hombre,7
Mujer,21
Mujer,9
Mujer,14
Hombre,20
Hombre,10
Hombre,29
Mujer,8
Hombre,11
Mujer,19
Mujer,26
Hombre,28
Mujer,8
Hombre,9
Hombre,14
Mujer,16
Hombre,12
Hombre,13
Mujer,13
Hombre,15
Mujer,23
Mujer,12
Mujer,17
Mujer,19
Hombre,6
Mujer,6
Hombre,11
Hombre,20
Mujer,21
Hombre,7
Hombre,17
Hombre,27
Mujer,5
Mujer,26
Hombre,12
Hombre,14
Mujer,9
Hombre,10
Hombre,12
Mujer,18
Mujer,9
Mujer,19
Hombre,10
Mujer,23
Hombre,15
Mujer,18
Hombre,26
Hombre,20
Hombre,22
Hombre,9
Hombre,15
Hombre,7
Mujer,23
Mujer,26
Mujer,22
Hombre,23
Mujer,9
Hombre,14
Hombre,11
Mujer,20
Mujer,5
Hombre,13
Hombre,9
Mujer,14
Mujer,12
Mujer,15
Mujer,10
Hombre,12
Hombre,28
Mujer,29
Mujer,18
Hombre,21
Hombre,26
Hombre,17
Hombre,19
Hombre,4
Hombre,6
Mujer,9
Mujer,14
Hombre,26
Mujer,28
Hombre,28
Mujer,6
Mujer,9
Mujer,10
Mujer,7
Mujer,23
Hombre,27
Hombre,28
Mujer,21
Mujer,16
Mujer,21
Hombre,7
Mujer,25
Hombre,3
Hombre,5
Mujer,8
Mujer,9
Hombre,17
Hombre,9
Mujer,22
Hombre,7
Mujer,13
Hombre,16
Mujer,13
Hombre,19
Hombre,28
Mujer,7
Hombre,12
Hombre,15
Hombre,19
Hombre,18
Hombre,21
Hombre,22
Hombre,27
Hombre,5
Mujer,28
Hombre,9
Hombre,21
Hombre,23
Mujer,25
Mujer,5
Hombre,19
Mujer,27
Hombre,28
Mujer,5
Hombre,8
Mujer,12
Mujer,27
Mujer,10
Hombre,19
Mujer,22
Mujer,7
Mujer,8
Hombre,10
Mujer,15
Hombre,22
Mujer,27
Hombre,25
Hombre,28
Hombre,6
Mujer,10
Mujer,5
Mujer,7
Hombre,7
Mujer,12
Mujer,25
Hombre,16
Hombre,21
Mujer,28
Mujer,8
Mujer,27
Hombre,27
Hombre,20
Mujer,4
Mujer,7
Hombre,14
Hombre,24
Hombre,6
Hombre,15
Hombre,9
Mujer,12
Hombre,17
Hombre,12
Mujer,6
Hombre,9
Mujer,11
Mujer,27
Mujer,4
Mujer,7
Mujer,11
Mujer,22
Hombre,11
Mujer,16
Hombre,21
Hombre,23
Hombre,23
Hombre,27
Hombre,27
Hombre,29
Mujer,7
Mujer,21
Hombre,25
Hombre,8
Mujer,22
Mujer,15
Hombre,12
Hombre,12
Mujer,20
Mujer,21
Hombre,22
Mujer,18
Mujer,24
Mujer,7
Mujer,10
Mujer,12
Mujer,13
Mujer,21
Hombre,3
Mujer,9
Mujer,10
Mujer,15
Mujer,21
Hombre,25
Hombre,8
Mujer,7
Hombre,11
Mujer,6
Mujer,12
Mujer,28
Hombre,10
Mujer,15
Hombre,10
Hombre,16
Mujer,5
Hombre,19
Hombre,21
Mujer,25
Mujer,21
Mujer,26
Hombre,18
Hombre,19
Hombre,15
Hombre,16
Mujer,18
Mujer,23
Mujer,13
Hombre,18
Hombre,21
Mujer,16
Mujer,20
Hombre,5
Mujer,14
Hombre,26
Mujer,5
Hombre,7
Mujer,28
Hombre,28
Hombre,13
Hombre,20
Mujer,10
Hombre,11
Mujer,21
Mujer,4
Mujer,6
Mujer,26
Hombre,13
Hombre,15
Mujer,12
Mujer,20
Mujer,5
Hombre,6
Hombre,10
Hombre,11
Mujer,18
Mujer,21
Hombre,21
Hombre,18
Hombre,16
Hombre,23
Mujer,7
Hombre,12
Hombre,18
Mujer,22
Hombre,15
Mujer,17
Hombre,18
Hombre,8
Mujer,13
Mujer,18
Hombre,19
Hombre,27
Hombre,24
Hombre,26
Mujer,29
Mujer,10
Hombre,14
Mujer,25
Mujer,17
Mujer,7
Mujer,15
Hombre,21
Mujer,4
Hombre,9
Hombre,9
Mujer,6
Hombre,6
Mujer,11
Mujer,14
Hombre,7
Hombre,8
Mujer,11
Mujer,4
Mujer,24
Hombre,25
Hombre,29
Hombre,22
Mujer,27
Mujer,7
Hombre,17
Hombre,3
Hombre,8
Mujer,20
Hombre,23
Hombre,5
Hombre,10
Mujer,15
Mujer,21
Hombre,26
Mujer,29
Hombre,20
Hombre,15
Mujer,21
Hombre,25
Mujer,11
Mujer,21
Mujer,9
Hombre,17
Hombre,14
Mujer,11
Hombre,27
Hombre,12
Mujer,29
Hombre,7
Hombre,9
Hombre,12
Mujer,18
Hombre,20
Mujer,11
Hombre,24
Mujer,9
Mujer,9
Mujer,15
Hombre,20
Hombre,26
Mujer,11
Mujer,23
Hombre,5
Mujer,18
Hombre,24
Hombre,4
Hombre,17
Hombre,20
Mujer,22
Mujer,24
Hombre,20
Hombre,24
Mujer,6
Hombre,27
Mujer,29
Mujer,7
Mujer,12
Mujer,14
Hombre,16
Mujer,25
Mujer,7
Hombre,9
Mujer,8
Hombre,23
Mujer,27
Mujer,29
Mujer,27
Mujer,22
Hombre,22
Hombre,6
Mujer,23
Hombre,26
Mujer,21
Mujer,25
Mujer,20
Mujer,21
Hombre,22
Hombre,15
Hombre,17
Mujer,20
Mujer,10
Hombre,18
Mujer,18
Hombre,25
Hombre,8
Hombre,22
Hombre,25
Mujer,13
Mujer,17
Hombre,19
Hombre,20
Mujer,18
Hombre,20
Mujer,11
Hombre,12
Mujer,18
Mujer,20
Mujer,3
Mujer,25
Hombre,26
Hombre,28
Mujer,6
Hombre,16
Hombre,19
Hombre,29
Hombre,4
Hombre,12
Hombre,13
Hombre,15
Hombre,9
Hombre,14
Mujer,17
Mujer,16
Hombre,19
Mujer,7
Mujer,19
Hombre,22
Mujer,25
Hombre,25
Hombre,11
Mujer,28
Hombre,25
Hombre,6
Hombre,10
Hombre,12
Hombre,20
Mujer,24
Mujer,29
Mujer,4
Mujer,20
Hombre,23
Mujer,6
Mujer,17
Hombre,21
Mujer,3
Mujer,8
Mujer,18
Mujer,7
Hombre,11
Hombre,11
Hombre,14
Mujer,10
Hombre,17
Hombre,15
Hombre,5
Mujer,21
Hombre,23
Mujer,24
Hombre,26
Hombre,12
Hombre,8
Hombre,10
Hombre,12
Hombre,16
Mujer,22
Hombre,25
Mujer,7
Mujer,10
Hombre,29
Mujer,16
Mujer,24
Mujer,7
Mujer,23
Hombre,26
Hombre,18
Hombre,27
Mujer,18
Hombre,24
Hombre,12
Mujer,13
Hombre,20
Mujer,12
Hombre,18
Hombre,21
Hombre,8
Mujer,9
Mujer,21
Mujer,20
Hombre,26
Mujer,15
Mujer,19
Mujer,21
Hombre,10
Hombre,17
Mujer,20
Hombre,28
Mujer,7
Hombre,14
Mujer,4
Mujer,6
Mujer,26
Hombre,28
Mujer,5
Mujer,3
Hombre,12
Mujer,24
Hombre,4
Mujer,8
Hombre,21
Mujer,23
Mujer,29
Hombre,18
Mujer,19
Hombre,25
Mujer,29
Hombre,4
Mujer,5
Hombre,7
Hombre,10
Mujer,12
Hombre,20
Mujer,21
Hombre,24
Hombre,26
Mujer,8
Mujer,8
Mujer,12
Hombre,13
Mujer,14
Hombre,25
Mujer,26
Hombre,27
Mujer,29
Mujer,12
Mujer,15
Hombre,3
Hombre,3
Hombre,4
Mujer,9
Mujer,15
Mujer,3
Mujer,8
Hombre,27
Mujer,25
Hombre,28
Hombre,19
Mujer,20
Hombre,13
Hombre,17
Mujer,18
Mujer,20
Hombre,23
Mujer,27
Hombre,24
Hombre,19
Mujer,21
Hombre,4
Mujer,8
Mujer,5
Hombre,10
Mujer,18
Hombre,9
Hombre,10
Mujer,16
Mujer,17
Mujer,11
Hombre,16
Mujer,3
Hombre,6
Hombre,18
Mujer,3
Mujer,5
Hombre,6
Hombre,6
Mujer,10
Hombre,16
Mujer,20
Hombre,5
Mujer,20
Mujer,25
Mujer,29
Hombre,11
Hombre,16
Hombre,13
Hombre,28
Hombre,4
Hombre,7
Mujer,17
Mujer,7
Mujer,17
Mujer,19
Hombre,4
Hombre,4
Hombre,6
Hombre,7
Mujer,26
Hombre,10
Mujer,28
Hombre,28
Mujer,27
Hombre,6
Hombre,18
Mujer,22
Mujer,8
Hombre,12
Mujer,13
Hombre,3
Mujer,7
Mujer,21
Hombre,29
Mujer,4
Hombre,16
Mujer,15
Mujer,21
Hombre,20
Hombre,4
Hombre,9
Hombre,22
Mujer,19
Hombre,24
Mujer,26
Mujer,11
Hombre,11
Hombre,19
Mujer,21
Hombre,23
Mujer,24
Mujer,29
Hombre,12
Mujer,14
Hombre,16
Mujer,18
Mujer,16
Mujer,18
Hombre,22
Hombre,12
Hombre,8
Mujer,13
Hombre,18
Hombre,21
Mujer,25
Mujer,25
Mujer,3
Hombre,8
Hombre,24
Mujer,29
Hombre,15
Mujer,17
Hombre,25
Hombre,12
Mujer,15
Mujer,3
Mujer,28
Mujer,11
Hombre,19
Hombre,9
Hombre,13
Mujer,16
Hombre,10
Hombre,17
Hombre,18
Hombre,23
Mujer,22
Mujer,26
Mujer,28
Hombre,10
Mujer,26
Hombre,29
Mujer,8
Hombre,12
Hombre,11
Mujer,17
Mujer,18
Mujer,16
Mujer,22
Mujer,16
Mujer,18
Hombre,19
Mujer,22
Mujer,3
Mujer,20
Mujer,23
Hombre,24
Hombre,26
Hombre,4
Mujer,18
Mujer,23
Hombre,9
Hombre,11
Mujer,5
Hombre,10
Hombre,15
Hombre,5
Mujer,29
Mujer,22
Hombre,9
Hombre,13
Hombre,17
Mujer,19
Hombre,5
Hombre,17
Mujer,20
Mujer,8
Mujer,16
Mujer,3
Mujer,4
Mujer,8
Mujer,26
Mujer,23
Hombre,23
Hombre,3
Mujer,10
Hombre,11
Mujer,27
Mujer,13
Mujer,18
Mujer,21
Hombre,15
Mujer,18
Mujer,22
Mujer,24
Mujer,5
Hombre,15
Hombre,17
Mujer,18
Hombre,22
Mujer,12
Hombre,13
Hombre,15
Hombre,18
Mujer,27
Mujer,13
Mujer,5
Mujer,10
Mujer,8
Mujer,13
Mujer,17
Hombre,5
Mujer,11
Hombre,16
Hombre,27
Hombre,6
Mujer,26
Hombre,27
Hombre,15
Mujer,16
Hombre,19
Hombre,22
Mujer,16
Hombre,17
Hombre,19
Mujer,21
Mujer,9
Mujer,17
Mujer,21
Hombre,22
Hombre,23
Hombre,9
Hombre,11
Hombre,12
Hombre,13
Hombre,16
Mujer,16
Hombre,21
Hombre,22
Hombre,9
Mujer,27
Mujer,10
Hombre,13
Hombre,15
Mujer,19
Hombre,20
Hombre,5
Hombre,23
Mujer,23
Mujer,27
Hombre,28
Hombre,29
Hombre,20
Hombre,23
Hombre,20
Mujer,10
Mujer,28
Mujer,15
Mujer,22
Hombre,27
Hombre,7
Hombre,8
Hombre,3
Hombre,4
Mujer,7
Mujer,28
Hombre,29
Hombre,6
Hombre,9
Hombre,13
Mujer,6
Mujer,9
Mujer,26
Hombre,7
Mujer,25
Mujer,21
Hombre,25
Mujer,25
Mujer,28
Mujer,11
Hombre,16
Hombre,21
Mujer,19
Hombre,22
Hombre,20
Hombre,20
Mujer,24
Mujer,9
Hombre,19
Mujer,3
Mujer,10
Mujer,8
Mujer,9
Mujer,15
Mujer,19
Mujer,20
Hombre,26
Hombre,3
Hombre,7
Hombre,25
Mujer,27
Hombre,29
Hombre,17
Mujer,19
Mujer,26
Hombre,12
Hombre,17
Mujer,18
Mujer,18
Hombre,20
Mujer,5
Mujer,7
Hombre,25
Mujer,28
Mujer,5
Hombre,6
Mujer,25
Mujer,18
Hombre,12
Hombre,17
Hombre,16
Mujer,18
Hombre,22
Hombre,16
Hombre,19
Mujer,20
Hombre,22
Hombre,17
Hombre,27
Hombre,28
Mujer,28
Hombre,23
Mujer,27
Hombre,9
Hombre,27
Hombre,5
Mujer,17
Mujer,18
Hombre,13
Hombre,20
Mujer,21
Hombre,7
Mujer,25
Hombre,16
Hombre,18
Hombre,19
Hombre,24
Hombre,18
Hombre,21
Mujer,25
Hombre,10
Hombre,25
Hombre,22
Hombre,27
Hombre,15
Mujer,20
Hombre,13
Mujer,15
Hombre,24
Mujer,26
Mujer,4
Mujer,7
Mujer,6
Mujer,13
Hombre,15
Mujer,21
Hombre,22
Mujer,12
Hombre,16
Hombre,20
Hombre,28
Hombre,29
Mujer,21
Hombre,8
Hombre,9
Hombre,16
Hombre,3
Hombre,13
Hombre,17
Mujer,18
Mujer,21
Hombre,10
Mujer,26
Mujer,8
Hombre,12
Hombre,3
Mujer,7
Hombre,27
Mujer,27
Mujer,19
Hombre,21
Hombre,24
Mujer,25
Hombre,6
Hombre,6
Mujer,6
Mujer,8
Hombre,22
Mujer,23
Hombre,24
Mujer,24
Hombre,26
Mujer,27
Mujer,24
Hombre,3
Hombre,14
Hombre,18
Mujer,21
Hombre,25
Hombre,25
Mujer,15
Mujer,19
Hombre,28
Mujer,12
Mujer,29
Mujer,5
Mujer,18
Mujer,24
Mujer,11
Hombre,13
Hombre,5
Hombre,19
Hombre,22
Mujer,24
Hombre,25
Hombre,7
Mujer,8
Mujer,9
Mujer,28
Mujer,9
Hombre,26
Mujer,3
Hombre,5
Mujer,27
Mujer,3
Mujer,12
Hombre,14
Hombre,6
Hombre,28
Hombre,8
Hombre,24
Mujer,24
Hombre,26
Hombre,28
Mujer,25
Mujer,10
Hombre,22
Hombre,4
Mujer,10
Mujer,3
Mujer,6
Hombre,8
Mujer,27
Hombre,28
Mujer,20
Mujer,22
Hombre,6
Mujer,9
Hombre,20
Mujer,22
Mujer,22
Hombre,26
Hombre,16
Hombre,28
Hombre,13
Hombre,14
Hombre,16
Hombre,17
Hombre,22
Hombre,27
Mujer,25
Mujer,9
Mujer,5
Hombre,16
Hombre,16
Hombre,20
Mujer,23
Mujer,8
Mujer,28
Mujer,5
Hombre,29
Mujer,13
Mujer,16
Mujer,16
Hombre,17
Hombre,17
Hombre,29
Hombre,18
Hombre,27
Hombre,12
Mujer,20
Mujer,8
Hombre,18
Hombre,21
Hombre,27
Hombre,12
Hombre,29
Mujer,6
Hombre,11
Mujer,15
Hombre,7
Hombre,19
Mujer,24
Mujer,24
Hombre,7
Hombre,8
Hombre,19
Mujer,25
Mujer,23
Mujer,4
Mujer,16
Mujer,18
Mujer,16
Hombre,23
Mujer,24
Mujer,15
Mujer,17
Mujer,18
Mujer,5
Hombre,9
Mujer,4
Hombre,20
Hombre,10
Hombre,15
Hombre,16
Mujer,18
Mujer,25
Mujer,16
Mujer,23
Hombre,26
Hombre,4
Hombre,13
Mujer,10
Hombre,3
Mujer,10
Mujer,15
Mujer,17
Mujer,3
Mujer,5
Mujer,8
Mujer,9
Mujer,18
Hombre,18
Hombre,8
Hombre,12
Mujer,14
Hombre,17
Hombre,6
Hombre,5
Mujer,14
Mujer,17
Mujer,18
Hombre,27
Hombre,22
Mujer,25
Mujer,4
Mujer,21
Mujer,26
Mujer,27
Hombre,28
Hombre,20
Hombre,25
Mujer,12
Mujer,18
Hombre,22
Mujer,15
Mujer,20
Mujer,25
Mujer,3
Mujer,12
Mujer,19
Hombre,23
Mujer,24
Mujer,8
Hombre,9
Mujer,14
Hombre,17
Hombre,9
Mujer,15
Hombre,10
Mujer,12
Mujer,15
Hombre,16
Hombre,18
Hombre,19
Mujer,8
Mujer,15
Hombre,17
Mujer,9
Mujer,20
Mujer,21
Hombre,6
Mujer,22
Hombre,25
Mujer,19
Mujer,19
Mujer,20
Hombre,20
Hombre,24
Hombre,10
Hombre,12
Hombre,14
Hombre,16
Mujer,17
Mujer,12
Mujer,17
Mujer,18
Hombre,10
Hombre,18
Hombre,10
Hombre,18
Hombre,6
Mujer,11
Mujer,14
Hombre,16
Hombre,18
Mujer,9
Mujer,5
Mujer,8
Hombre,12
Mujer,6
Hombre,8
Mujer,12
Mujer,16
Hombre,20
Hombre,3
Hombre,5
Mujer,7
Mujer,27
Mujer,6
Mujer,8
Hombre,14
Mujer,12
Hombre,14
Hombre,3
Mujer,6
Mujer,24
Hombre,25
Mujer,20
Mujer,11
Mujer,12
Hombre,4
Hombre,14
Hombre,18
Hombre,22
Hombre,24
Hombre,26
Hombre,27
Mujer,27
Mujer,22
Hombre,8
Hombre,9
Hombre,3
Hombre,23
Mujer,24
Hombre,13
Hombre,18
Hombre,19
Mujer,10
Hombre,13
Hombre,14
Mujer,15
Mujer,7
Hombre,9
Hombre,18
Hombre,20
Mujer,11
Hombre,15
Hombre,7
Hombre,10
Hombre,4
